Join_Date,Id,Name,Department,Age
06/01/20,11,"shiva","Technical",28
06/02/20,12,"hari","Mechanical",27
06/03/20,13,"ram","Home Decore",30
06/04/20,14,"shyam","Grocery",29
06/05/20,15,"geeta","Clothing",26
06/05/20,16,"sita","Fashion",26
06/07/20,22,"maruti","Pastries",26
06/08/20,21,"rudra","Books",25
06/09/20,20,"hanuman","Stationary",27
06/10/20,33,"bajrang","Auto",27
05/02/20,50,"pawanputra","Account",30
05/02/20,10,"david","Marketing",29
04/01/20,23,"messi","Stocks",28
04/15/20,55,"keshab","Storage",25
12/02/19,40,"arjun","Security",27
06/15/19,28,"niraj","Helper",25
05/01/19,18,"uma","Inspection",29
04/15/19,01,"luniva","Administration",30
